,Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
558,559,Agra,Agra,Potato,Desi,FAQ,850,1000,920,2020-02-12
817,818,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,2020-02-12
1107,1108,Agra,Fatehpur Sikri,Potato,Local,FAQ,900,1050,980,2020-02-13
557,558,Agra,Agra,Potato,Desi,FAQ,800,1000,910,2020-02-13
1435,1436,Agra,Jarar,Potato,Desi,FAQ,670,770,720,2020-02-13
1288,1289,Agra,Jagnair,Potato,Desi,FAQ,1100,1200,1150,2020-02-13
1621,1622,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,2020-02-13
816,817,Agra,Fatehabad,Potato,Desi,FAQ,500,600,550,2020-02-13
556,557,Agra,Agra,Potato,Desi,FAQ,800,1000,900,2020-02-14
1434,1435,Agra,Jarar,Potato,Desi,FAQ,680,760,720,2020-02-14
269,270,Agra,Achnera,Potato,Desi,FAQ,880,960,920,2020-02-14
1287,1288,Agra,Jagnair,Potato,Desi,FAQ,1100,1140,1120,2020-02-14
1620,1621,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,2020-02-14
1106,1107,Agra,Fatehpur Sikri,Potato,Local,FAQ,900,1020,950,2020-02-14
815,816,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,2020-02-15
1286,1287,Agra,Jagnair,Potato,Desi,FAQ,1120,1200,1180,2020-02-15
555,556,Agra,Agra,Potato,Desi,FAQ,810,1000,905,2020-02-15
1788,1789,Agra,Samsabad,Potato,Local,FAQ,750,900,800,2020-02-15
268,269,Agra,Achnera,Potato,Desi,FAQ,850,950,900,2020-02-15
1105,1106,Agra,Fatehpur Sikri,Potato,Local,FAQ,900,1040,970,2020-02-15
267,268,Agra,Achnera,Potato,Desi,FAQ,880,980,930,2020-02-16
1787,1788,Agra,Samsabad,Potato,Local,FAQ,750,900,800,2020-02-16
1619,1620,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,2020-02-16
1433,1434,Agra,Jarar,Potato,Desi,FAQ,640,740,690,2020-02-16
814,815,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,2020-02-16
1285,1286,Agra,Jagnair,Potato,Desi,FAQ,1100,1200,1150,2020-02-17
266,267,Agra,Achnera,Potato,Desi,FAQ,870,950,910,2020-02-17
1786,1787,Agra,Samsabad,Potato,Local,FAQ,750,900,800,2020-02-17
1104,1105,Agra,Fatehpur Sikri,Potato,Local,FAQ,900,1050,980,2020-02-17
813,814,Agra,Fatehabad,Potato,Desi,FAQ,700,800,750,2020-02-17
554,555,Agra,Agra,Potato,Desi,FAQ,800,980,910,2020-02-17
1432,1433,Agra,Jarar,Potato,Desi,FAQ,640,720,680,2020-02-17
1785,1786,Agra,Samsabad,Potato,Local,FAQ,850,1000,900,2020-02-18
1284,1285,Agra,Jagnair,Potato,Desi,FAQ,1100,1200,1150,2020-02-18
1618,1619,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,2020-02-18
1431,1432,Agra,Jarar,Potato,Desi,FAQ,650,730,700,2020-02-18
1103,1104,Agra,Fatehpur Sikri,Potato,Local,FAQ,900,1050,965,2020-02-18
